Episode,Observation,Action1,Action2
0,"[ 3.84993585e-01  4.16681720e-01  5.44361170e-01  1.00000000e+00
  9.34984932e-01  1.00000000e+00  5.44577753e-01  4.16767337e-01
  3.85020322e-01 -2.99984915e-01  7.47569045e-06 -2.20401565e-01
  3.84979684e-01  4.16674670e-01  5.44366729e-01  1.00000000e+00
  9.34980230e-01  1.00000000e+00  5.44583333e-01  4.16760295e-01
  3.85006428e-01  2.99984915e-01 -7.47569045e-06  2.27250241e-01
  4.45537692e-03 -6.82743752e-02  5.94131126e-01  5.85291562e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993595e-01  4.16681795e-01  5.44361386e-01  1.00000000e+00
  9.35002927e-01  1.00000000e+00  5.44577538e-01  4.16767263e-01
  3.85020314e-01 -3.00002911e-01  7.48603339e-06 -2.20389348e-01
  3.84979693e-01  4.16674744e-01  5.44366944e-01  1.00000000e+00
  9.34998225e-01  1.00000000e+00  5.44583118e-01  4.16760220e-01
  3.85006419e-01  3.00002911e-01 -7.48603339e-06  2.27236483e-01
  4.45537692e-03 -6.82743752e-02  5.94132907e-01  5.85293370e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993604e-01  4.16681871e-01  5.44361607e-01  1.00000000e+00
  9.35021623e-01  1.00000000e+00  5.44577318e-01  4.16767188e-01
  3.85020305e-01 -3.00021606e-01  7.49665962e-06 -2.20376650e-01
  3.84979702e-01  4.16674819e-01  5.44367164e-01  1.00000000e+00
  9.35016921e-01  1.00000000e+00  5.44582896e-01  4.16760144e-01
  3.85006409e-01  3.00021606e-01 -7.49665962e-06  2.27222197e-01
  4.45537692e-03 -6.82743752e-02  5.94134547e-01  5.85295035e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993614e-01  4.16681949e-01  5.44361834e-01  1.00000000e+00
  9.35041079e-01  1.00000000e+00  5.44577092e-01  4.16767110e-01
  3.85020296e-01 -3.00041062e-01  7.50759037e-06 -2.20363433e-01
  3.84979711e-01  4.16674897e-01  5.44367390e-01  1.00000000e+00
  9.35036377e-01  1.00000000e+00  5.44582669e-01  4.16760065e-01
  3.85006399e-01  3.00041062e-01 -7.50759037e-06  2.27207338e-01
  4.45537692e-03 -6.82743752e-02  5.94136058e-01  5.85296569e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993625e-01  4.16682030e-01  5.44362067e-01  1.00000000e+00
  9.35061350e-01  1.00000000e+00  5.44576860e-01  4.16767031e-01
  3.85020286e-01 -3.00061334e-01  7.51884205e-06 -2.20349656e-01
  3.84979720e-01  4.16674976e-01  5.44367622e-01  1.00000000e+00
  9.35056648e-01  1.00000000e+00  5.44582435e-01  4.16759985e-01
  3.85006389e-01  3.00061334e-01 -7.51884205e-06  2.27191865e-01
  4.45537692e-03 -6.82743752e-02  5.94137449e-01  5.85297981e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993635e-01  4.16682112e-01  5.44362305e-01  1.00000000e+00
  9.35082491e-01  1.00000000e+00  5.44576624e-01  4.16766950e-01
  3.85020276e-01 -3.00082475e-01  7.53052822e-06 -2.20335281e-01
  3.84979730e-01  4.16675057e-01  5.44367858e-01  1.00000000e+00
  9.35077789e-01  1.00000000e+00  5.44582198e-01  4.16759903e-01
  3.85006378e-01  3.00082475e-01 -7.53052822e-06  2.27175739e-01
  4.45537692e-03 -6.82743752e-02  5.94138730e-01  5.85299281e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993646e-01  4.16682195e-01  5.44362545e-01  1.00000000e+00
  9.35104555e-01  1.00000000e+00  5.44576385e-01  4.16766867e-01
  3.85020266e-01 -3.00104539e-01  7.54277017e-06 -2.20320265e-01
  3.84979740e-01  4.16675139e-01  5.44368097e-01  1.00000000e+00
  9.35099853e-01  1.00000000e+00  5.44581957e-01  4.16759819e-01
  3.85006367e-01  3.00104539e-01 -7.54277017e-06  2.27158926e-01
  4.45537692e-03 -6.82743752e-02  5.94139910e-01  5.85300479e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993658e-01  4.16682279e-01  5.44362788e-01  1.00000000e+00
  9.35127591e-01  1.00000000e+00  5.44576143e-01  4.16766784e-01
  3.85020256e-01 -3.00127576e-01  7.55539633e-06 -2.20304576e-01
  3.84979751e-01  4.16675223e-01  5.44368338e-01  1.00000000e+00
  9.35122889e-01  1.00000000e+00  5.44581714e-01  4.16759735e-01
  3.85006355e-01  3.00127576e-01 -7.55539633e-06  2.27141389e-01
  4.45537692e-03 -6.82743752e-02  5.94140996e-01  5.85301581e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993670e-01  4.16682365e-01  5.44363034e-01  1.00000000e+00
  9.35151650e-01  1.00000000e+00  5.44575898e-01  4.16766700e-01
  3.85020245e-01 -3.00151634e-01  7.56841470e-06 -2.20288179e-01
  3.84979762e-01  4.16675307e-01  5.44368583e-01  1.00000000e+00
  9.35146948e-01  1.00000000e+00  5.44581467e-01  4.16759649e-01
  3.85006343e-01  3.00151634e-01 -7.56841470e-06  2.27123092e-01
  4.45537692e-03 -6.82743752e-02  5.94141996e-01  5.85302596e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993682e-01  4.16682451e-01  5.44363282e-01  1.00000000e+00
  9.35176782e-01  1.00000000e+00  5.44575652e-01  4.16766614e-01
  3.85020234e-01 -3.00176767e-01  7.58183274e-06 -2.20271035e-01
  3.84979773e-01  4.16675392e-01  5.44368829e-01  1.00000000e+00
  9.35172080e-01  1.00000000e+00  5.44581219e-01  4.16759563e-01
  3.85006331e-01  3.00176767e-01 -7.58183274e-06  2.27103997e-01
  4.45537692e-03 -6.82743752e-02  5.94142916e-01  5.85303530e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993695e-01  4.16682538e-01  5.44363531e-01  1.00000000e+00
  9.35203040e-01  1.00000000e+00  5.44575404e-01  4.16766529e-01
  3.85020222e-01 -3.00203024e-01  7.59565770e-06 -2.20253108e-01
  3.84979784e-01  4.16675478e-01  5.44369076e-01  1.00000000e+00
  9.35198338e-01  1.00000000e+00  5.44580970e-01  4.16759476e-01
  3.85006318e-01  3.00203024e-01 -7.59565770e-06  2.27084069e-01
  4.45537692e-03 -6.82743752e-02  5.94143763e-01  5.85304391e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993708e-01  4.16682625e-01  5.44363780e-01  1.00000000e+00
  9.35230477e-01  1.00000000e+00  5.44575157e-01  4.16766443e-01
  3.85020211e-01 -3.00230461e-01  7.60989709e-06 -2.20234360e-01
  3.84979796e-01  4.16675563e-01  5.44369324e-01  1.00000000e+00
  9.35225774e-01  1.00000000e+00  5.44580721e-01  4.16759389e-01
  3.85006305e-01  3.00230461e-01 -7.60989709e-06  2.27063270e-01
  4.45537692e-03 -6.82743752e-02  5.94144543e-01  5.85305182e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993721e-01  4.16682713e-01  5.44364029e-01  1.00000000e+00
  9.35259146e-01  1.00000000e+00  5.44574910e-01  4.16766357e-01
  3.85020199e-01 -3.00259131e-01  7.62455910e-06 -2.20214751e-01
  3.84979808e-01  4.16675649e-01  5.44369570e-01  1.00000000e+00
  9.35254444e-01  1.00000000e+00  5.44580472e-01  4.16759301e-01
  3.85006292e-01  3.00259131e-01 -7.62455910e-06  2.27041562e-01
  4.45537692e-03 -6.82743752e-02  5.94145261e-01  5.85305911e-01]","[0, 0]","[0, 0]"
