Episode,Observation,Action1,Action2
0,"[ 3.84993567e-01  4.16681576e-01  5.44360754e-01  1.00000000e+00
  9.34950768e-01  1.00000000e+00  5.44578168e-01  4.16767479e-01
  3.85020339e-01 -2.99950752e-01  7.45574066e-06  1.30015933e-01
  3.84979668e-01  4.16674528e-01  5.44366315e-01  1.00000000e+00
  9.34946067e-01  1.00000000e+00  5.44583750e-01  4.16760439e-01
  3.85006447e-01  2.99950752e-01 -7.45574066e-06 -2.15399554e-01
  7.59195470e-02  4.90642212e-02  6.63392732e-01  5.12287202e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993576e-01  4.16681648e-01  5.44360960e-01  1.00000000e+00
  9.34967570e-01  1.00000000e+00  5.44577963e-01  4.16767409e-01
  3.85020331e-01 -2.99967554e-01  7.46560398e-06  1.30009816e-01
  3.84979676e-01  4.16674599e-01  5.44366520e-01  1.00000000e+00
  9.34962868e-01  1.00000000e+00  5.44583544e-01  4.16760368e-01
  3.85006438e-01  2.99967554e-01 -7.46560398e-06 -2.15384277e-01
  7.59195470e-02  4.90642212e-02  6.63394612e-01  5.12289636e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993585e-01  4.16681720e-01  5.44361170e-01  1.00000000e+00
  9.34984932e-01  1.00000000e+00  5.44577753e-01  4.16767337e-01
  3.85020322e-01 -2.99984915e-01  7.47569045e-06  1.30003500e-01
  3.84979684e-01  4.16674670e-01  5.44366729e-01  1.00000000e+00
  9.34980230e-01  1.00000000e+00  5.44583333e-01  4.16760295e-01
  3.85006428e-01  2.99984915e-01 -7.47569045e-06 -2.15368489e-01
  7.59195470e-02  4.90642212e-02  6.63396343e-01  5.12291878e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993595e-01  4.16681795e-01  5.44361386e-01  1.00000000e+00
  9.35002927e-01  1.00000000e+00  5.44577538e-01  4.16767263e-01
  3.85020314e-01 -3.00002911e-01  7.48603339e-06  1.29996959e-01
  3.84979693e-01  4.16674744e-01  5.44366944e-01  1.00000000e+00
  9.34998225e-01  1.00000000e+00  5.44583118e-01  4.16760220e-01
  3.85006419e-01  3.00002911e-01 -7.48603339e-06 -2.15352122e-01
  7.59195470e-02  4.90642212e-02  6.63397938e-01  5.12293943e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993604e-01  4.16681871e-01  5.44361607e-01  1.00000000e+00
  9.35021623e-01  1.00000000e+00  5.44577318e-01  4.16767188e-01
  3.85020305e-01 -3.00021606e-01  7.49665962e-06  1.29990169e-01
  3.84979702e-01  4.16674819e-01  5.44367164e-01  1.00000000e+00
  9.35016921e-01  1.00000000e+00  5.44582896e-01  4.16760144e-01
  3.85006409e-01  3.00021606e-01 -7.49665962e-06 -2.15335115e-01
  7.59195470e-02  4.90642212e-02  6.63399407e-01  5.12295846e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993614e-01  4.16681949e-01  5.44361834e-01  1.00000000e+00
  9.35041079e-01  1.00000000e+00  5.44577092e-01  4.16767110e-01
  3.85020296e-01 -3.00041062e-01  7.50759037e-06  1.29983109e-01
  3.84979711e-01  4.16674897e-01  5.44367390e-01  1.00000000e+00
  9.35036377e-01  1.00000000e+00  5.44582669e-01  4.16760065e-01
  3.85006399e-01  3.00041062e-01 -7.50759037e-06 -2.15317414e-01
  7.59195470e-02  4.90642212e-02  6.63400760e-01  5.12297598e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993625e-01  4.16682030e-01  5.44362067e-01  1.00000000e+00
  9.35061350e-01  1.00000000e+00  5.44576860e-01  4.16767031e-01
  3.85020286e-01 -3.00061334e-01  7.51884205e-06  1.29975761e-01
  3.84979720e-01  4.16674976e-01  5.44367622e-01  1.00000000e+00
  9.35056648e-01  1.00000000e+00  5.44582435e-01  4.16759985e-01
  3.85006389e-01  3.00061334e-01 -7.51884205e-06 -2.15298967e-01
  7.59195470e-02  4.90642212e-02  6.63402006e-01  5.12299211e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993635e-01  4.16682112e-01  5.44362305e-01  1.00000000e+00
  9.35082491e-01  1.00000000e+00  5.44576624e-01  4.16766950e-01
  3.85020276e-01 -3.00082475e-01  7.53052822e-06  1.29968109e-01
  3.84979730e-01  4.16675057e-01  5.44367858e-01  1.00000000e+00
  9.35077789e-01  1.00000000e+00  5.44582198e-01  4.16759903e-01
  3.85006378e-01  3.00082475e-01 -7.53052822e-06 -2.15279722e-01
  7.59195470e-02  4.90642212e-02  6.63403154e-01  5.12300697e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993646e-01  4.16682195e-01  5.44362545e-01  1.00000000e+00
  9.35104555e-01  1.00000000e+00  5.44576385e-01  4.16766867e-01
  3.85020266e-01 -3.00104539e-01  7.54277017e-06  1.29960137e-01
  3.84979740e-01  4.16675139e-01  5.44368097e-01  1.00000000e+00
  9.35099853e-01  1.00000000e+00  5.44581957e-01  4.16759819e-01
  3.85006367e-01  3.00104539e-01 -7.54277017e-06 -2.15259626e-01
  7.59195470e-02  4.90642212e-02  6.63404210e-01  5.12302065e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993658e-01  4.16682279e-01  5.44362788e-01  1.00000000e+00
  9.35127591e-01  1.00000000e+00  5.44576143e-01  4.16766784e-01
  3.85020256e-01 -3.00127576e-01  7.55539633e-06  1.29951828e-01
  3.84979751e-01  4.16675223e-01  5.44368338e-01  1.00000000e+00
  9.35122889e-01  1.00000000e+00  5.44581714e-01  4.16759735e-01
  3.85006355e-01  3.00127576e-01 -7.55539633e-06 -2.15238635e-01
  7.59195470e-02  4.90642212e-02  6.63405183e-01  5.12303325e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993670e-01  4.16682365e-01  5.44363034e-01  1.00000000e+00
  9.35151650e-01  1.00000000e+00  5.44575898e-01  4.16766700e-01
  3.85020245e-01 -3.00151634e-01  7.56841470e-06  1.29943167e-01
  3.84979762e-01  4.16675307e-01  5.44368583e-01  1.00000000e+00
  9.35146948e-01  1.00000000e+00  5.44581467e-01  4.16759649e-01
  3.85006343e-01  3.00151634e-01 -7.56841470e-06 -2.15216702e-01
  7.59195470e-02  4.90642212e-02  6.63406078e-01  5.12304484e-01]","[0, 0]","[0, 0]"
